Date,Open,High,Low,Close,Volume
06/17/2025,"197.20","198.39","195.21","195.64","38,856,152"
06/16/2025,"197.30","198.69","196.56","198.42","43,020,688"
06/13/2025,"199.73","200.37","195.70","196.45","51,447,352"
06/12/2025,"199.08","199.68","197.36","199.20","43,904,641"
06/11/2025,"203.50","204.50","198.41","198.78","60,989,859"
06/10/2025,"200.60","204.35","200.57","202.67","54,672,609"
06/09/2025,"204.39","206.00","200.02","201.45","72,862,562"
06/06/2025,"203.00","205.70","202.05","203.92","46,607,688"
06/05/2025,"203.50","204.75","200.15","200.63","55,221,238"
06/04/2025,"202.91","206.24","202.10","202.82","43,603,992"
06/03/2025,"201.35","203.77","200.96","203.27","46,381,566"
06/02/2025,"200.28","202.13","200.12","201.70","35,423,289"
05/30/2025,"199.37","201.96","196.78","200.85","70,819,938"
05/29/2025,"203.58","203.81","198.51","199.95","51,477,941"
05/28/2025,"200.59","202.73","199.90","200.42","45,339,680"
05/27/2025,"198.30","200.74","197.43","200.21","56,288,480"
05/23/2025,"193.67","197.70","193.46","195.27","78,432,922"
05/22/2025,"200.71","202.75","199.70","201.36","46,742,406"
05/21/2025,"205.17","207.04","200.71","202.09","59,211,770"
05/20/2025,"207.67","208.47","205.03","206.86","42,496,641"
05/19/2025,"207.91","209.48","204.26","208.78","46,140,527"
