year,date,close,adj_close,return_close,return_adj_close
2005,2005-12-30,96.07,,,
2006,2006-12-29,109.24,,13.71%,
2007,2007-12-31,112.81,,3.27%,
2008,2008-12-31,69.62,,-38.29%,
2009,2009-12-31,85.97,,23.48%,
2010,2010-12-31,97.00,,12.83%,
2011,2011-12-30,98.85,,1.91%,
2012,2012-12-31,114.67,,16%,
2013,2013-12-31,151.74,,32.33%,
2014,2014-12-31,172.17,,13.46%,
2015,2015-12-31,174.30,,1.24%,
2016,2016-12-30,195.17,,11.97%,
2017,2017-12-29,237.55,,21.71%,
2018,2018-12-31,226.70,,-4.57%,
2019,2019-12-31,297.48,,31.22%,
2020,2020-12-31,352.02,,18.33%,
2021,2021-12-31,453.17,,28.73%,
2022,2022-12-30,370.82,,-18.17%,
2023,2023-12-29,467.88,,26.17%,
2024,2024-12-31,584.32,,24.89%,
2025,2025-08-26,645.02,,10.39%,

CAGR,,,,9.99%,
